"dp_id","dp_name","dp_cust_id","dp_desc","dp_img1","dp_img2","dp_img3","dp_video","dp_qty","dp_cat_id","dp_cat_sub_id","dp_status","dp_datetime","dp_brand","dp_featured","dp_featured_date","dp_featured_outofstock","dp_featured_time","dp_pack_type","dp_pack_qnty"
"115","f96","20190819071719",,"20200924011203_5f6c4dcb464a1.jpg",,,,"2","6","5","1","2019-08-19 07:17 pm",,"0",,"0","20201004124346","Box","50"
"116","f97","20190819071747",,"20191224061611_5e0208931b65e.jpg",,,,"2","6","5","0","2019-08-19 07:18 pm",,"0",,"0",,,
"117","f98","20190819071822",,"20200924011203_5f6c4dcb48ea4.jpg",,,,"2","6","5","1","2019-08-19 07:19 pm",,"0",,"0","20201004124346","Box","50"
"118","f99","20190819071909",,"20200924011203_5f6c4dcb494a1.jpg",,,,"-48","6","5","1","2019-08-19 07:19 pm",,"0",,"0","20201004124346","Box","50"
"119","f100","20190819071951",,"20200924011203_5f6c4dcb4b76e.jpg",,,,"1","6","5","1","2019-08-19 07:20 pm",,"0",,"0","20201004124346","Box","50"
"120","f101","20190819072044",,"20200924011203_5f6c4dcb4c4e6.jpg",,,,"2","6","5","1","2019-08-19 07:21 pm",,"0",,"0","20201004124346","Box","50"
"121","f102","20190819072119",,"20191224061712_5e0208d074aa1.jpg",,,,"2","6","5","0","2019-08-19 07:22 pm",,"0",,"0",,,
"122","f103","20190819072240",,"20200924011203_5f6c4dcb4d621.jpg",,,,"2","6","5","1","2019-08-19 07:23 pm",,"0",,"0","20201004124346","Box","50"
"123","f364","20190819072345",,"20200924014231_5f6c54ef3791e.jpg",,,,"2","6","5","1","2019-08-19 07:24 pm","0","0",,"0","20201004124347","Box","50"
"124","f104","20190819072426",,"20200924011203_5f6c4dcb4e0ec.jpg",,,,"1","6","5","1","2019-08-19 07:25 pm",,"0",,"0","20201004124346","Box","50"
"125","f365","20190819072528",,"20200924014231_5f6c54ef380bf.jpg",,,,"2","6","5","1","2019-08-19 07:26 pm","0","0",,"0","20201004124347","Box","50"
"126","f105","20190819072607",,"20200924011203_5f6c4dcb4e65e.jpg",,,,"2","6","5","1","2019-08-19 07:26 pm",,"0",,"0","20201004124346","Box","50"
"127","f106","20190819072645",,"20230817043845_64ddffbdd63ba.JPG",,,,"2","0","5","1","2019-08-19 07:27 pm","0","0",,"0","20201004124346","box","50"
"128","f312","20190819072713",,"20200924013122_5f6c52523b4f2.jpg",,,,"2","6","5","1","2019-08-19 07:28 pm","0","0",,"0","20201004124347","Box","50"
"129","f107","20190819072812",,"20200924011203_5f6c4dcb4fcdf.jpg",,,,"-48","6","5","1","2019-08-19 07:29 pm",,"0",,"0","20201004124346","Box","50"
"130","f32","20190826021337",,"20200924010634_5f6c4c82848ab.jpg",,,,"2","6","5","1","2019-08-26 02:19 pm",,"0",,"0","20201004124346","Box","50"
"131","f32","20190826021507",,"20200924010634_5f6c4c8284f8c.jpg",,,,"2","6","5","1","2019-08-26 02:23 pm",,"0",,"0","20201004124346","Box","50"
"132","f32","20190826021507",,"20190826022306_5d639df24ee14.jpg",,,,"2","6","5","0","2019-08-26 02:23 pm",,"0",,"0",,,
"133","f109","20190826022451",,"20190826022525_5d639e7d594e9.jpg",,,,"2","6","5","0","2019-08-26 02:25 pm",,"0",,"0",,,
